idImpianto,Gestore,Bandiera,Tipo Impianto,Nome Impianto,Indirizzo,Comune,Provincia,Latitudine,Longitudine,,,
9049,M.G. DI GIAMBARTINO FILIPPO E C.-S.N.C.,Api-Ip,Strada Statale,IP,Statale 118 Corleonese Agrigentina. Km. 77+600. dir. AGRIGENTO 92020,SANTO STEFANO QUISQUINA,AG,37.632506515250405,13.475302755832672,,,
9419,IPPOLITO VINCENZO ANGELO,Q8,Strada Statale,pv9578,Statale 118 Corleonese Agrigentina. Km. 74.385. dir. corleone 92020,SANTO STEFANO QUISQUINA,AG,37.626143328694056,13.494056761264801,,,
20045,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Agip Eni,Altro,C.DA FOGGIA SCIACCA,C.DA FOGGIA  92019,SCIACCA,AG,37.50804259290687,13.052275609786989,,,
15841,DI. GA.  DI DI PAOLA MARIO & C. S.N.C.,Q8,Altro,Di.Ga. Erg  Sciacca,VIA  POMPEI 2 92019,SCIACCA,AG,37.523613079050236,13.073818981647491,,,
18418,PETROLI SCIACCA DI MAGGIO ACCURSIO & C. S.A.S.,Agip Eni,Altro,ENI,via Figuli s/n 92019,SCIACCA,AG,37.50628533374089,13.090032935142517,,,
8844,CUSUMANO CARBURANTI S.A.S. DI STEFANO CUSUMANO & C.,Agip Eni,Strada Statale,ENI AGIP,Statale 115 dir Sud Occidentale Sicula. Km. 105+282. dir. Menfi - Palermo 92019,SCIACCA,AG,37.55335739247375,13.04344967007637,,,
13459,CUSUMANO CARBURANTI S.A.S. DI STEFANO CUSUMANO & C.,Agip Eni,Altro,ENI AGIP,VIA CAPPUCCINI  92019,SCIACCA,AG,37.51571268825997,13.077494420237713,,,
13471,CUSUMANO CARBURANTI S.A.S. DI STEFANO CUSUMANO & C.,Agip Eni,Altro,ENI AGIP,VIA DANTE ALIGHIERI  92019,SCIACCA,AG,37.50797613578515,13.073874120237747,,,
16376,TRIPODI FRANCESCO,Esso,Altro,Stazione di servizio Esso di F.sco Tripodi,VIA CAPPUCCINI 99 92019,SCIACCA,AG,37.51693997151856,13.07680293917656,,,
20789,LO RASO ANTONINO,Esso,Altro,stazione di servizio esso di lo raso antonino,CONTRADA SCARETO  92019,SCIACCA,AG,37.50885690061684,13.077633082866669,,,
12200,SCIACCA OIL DI LA PORTA MARIA,TaOil,Altro,TaOil ,VIA LIONI SN 92019,SCIACCA,AG,37.520085988102885,13.077281713485718,,,
30185,F.LLI PIRRERA DI PIRRERA SALVATORE E PIRRERA ANGELO-S.N.C.,Q8,Altro,Q8,VIA ROMA 149 92010,SICULIANA,AG,37.33632599462071,13.425706884586361,,,
29421,T.D.M. S.R.L.,Tamoil,Altro,3914,via De Gasperi  15011,ACQUI TERME,AL,44.67313733632,8.477373719215393,,,
30244,IP SERVICES S.R.L.,Api-Ip,Altro,ACQUI TERME - MATTEOTTI,PIAZZA MATTEOTTI 54 15011,ACQUI TERME,AL,44.673086077785584,8.46631489981462,,,
6407,SERVIZI & GESTIONI ITALIA srl,Q8,Altro,ACQUI TERME CORSO DIVISIONE ACQUI 110,CORSO DIVISIONE ACQUI 110 15011,ACQUI TERME,AL,44.67636581251457,8.45972986389313,,,
24087,BERRY SERVICE DI PONZANO MAURIZIO LUIGI E C. SNC,Pompe Bianche,Altro,Berry Service & C S.n.C,C.so Divisione Acqui 47 15011,ACQUI TERME,AL,44.676320350040776,8.463236209717593,,,
10022,COLLINO E C.- S.P.A.,Pompe Bianche,Altro,DISTRIBUTORE HELP,VIA CASSAROGNA 30 15011,ACQUI TERME,AL,44.668958664387105,8.458921033065735,,,
4497,SEVERINO MASSIMO,Agip Eni,Altro,eni di severino massimo,VIA NIZZA 152 15011,ACQUI TERME,AL,44.68021119744928,8.472873077909867,,,
31978,BOTTER WALTER,Esso,Strada Statale,Esso,Statale 30 di Val Bormida. Km. 31. dir. Alessandria 15011,ACQUI TERME,AL,44.68067678652247,8.49929541349411,,,
32191,FRATELLI OLIVIERI BRUNO E RICCARDO S.N.C.,Api-Ip,Altro,IP,VIA ACQUEDOTTO ROMANO 98 15011,ACQUI TERME,AL,44.66344990429665,8.468254694442749,,,
27634,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,Altro,PV 51036,CORSO DIVISIONE ACQUI 26 15011,ACQUI TERME,AL,44.676577284118565,8.464691063823693,,,
25112,BECCARIA S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA,Q8,Altro,PV Acqui Terme,Stradale Savona - Loc. Madonnalta 86 15011,ACQUI TERME,AL,44.6757983508484,8.446408210528602,,,
30525,T.D.M. S.R.L.,Tamoil,Altro,7630,via Casalbagliano 54 13100,ALESSANDRIA,AL,44.89691515920304,8.587306067347527,,,
5512,GESTIONI EUROPA S.p.A.,Total Erg,Altro,ALESSANDRIA,Via Giordano Bruno 69 15121,ALESSANDRIA,AL,44.91993339554133,8.595036822090151,,,
5767,TotalErg SpA,Total Erg,Altro,ALESSANDRIA,S.S. 30 KM 3+320 snc 15100,ALESSANDRIA,AL,44.886650405713226,8.614796915344186,,,
7292,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,ALESSANDRIA - CC PANORAMA,C/O CC PANORAMA SN 15121,ALESSANDRIA,AL,44.90220486835905,8.63087385892868,,,
30831,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,ALESSANDRIA - FZ.SPINETTA MARENGO SS. 10,FZ.SPINETTA MARENGO SS. 10  15047,ALESSANDRIA,AL,44.8938111309523,8.672091364860535,,,
